sentiment,lat,lon
3.0,53.3392145,-6.37661767
0.0,13.81923481,100.03941056
0.0,-20.3754748,-40.3541879
0.0,48.86143981,2.33412266
0.0,38.31940115,140.90054548
-5.0,51.50295392,-0.11302222
0.0,-6.202284,106.7923283
0.0,42.88131352,74.6367008
0.0,-6.39491,106.97736
0.0,46.99473307,-120.54767118
0.0,43.0639156,141.31872
0.0,0.0,0.0
0.0,3.6037742,98.4681349
0.0,-8.12152,112.194185
-11.0,35.6152755,-77.3934864
0.0,34.70302265,135.20537339
0.0,51.9925,5.09167
0.0,-37.8595296,145.2871702
0.0,40.77120931,-74.19511967
0.0,26.19631993,50.55759903
0.0,-8.65567814,115.2337718
0.0,51.5481031,-0.1409111
0.0,-25.8727981,-48.5744527
0.0,55.79109462,37.70419565
0.0,-3.00479118,120.20290028
3.0,6.88391,3.01773
0.0,34.723662,135.145867
0.0,34.09960654,-118.3336607
0.0,0.62254786,122.9767353
0.0,3.61119243,98.69291355
0.0,44.12332853,4.08381484
0.0,51.28121974,4.84330424
0.0,38.6987187,-9.3226562
0.0,35.64925687,139.69993494
0.0,7.0785566,100.3568672
0.0,5.59233,95.37017
0.0,-7.2304055,112.7261838
0.0,-6.3184033,106.7975556
0.0,51.546672,-0.3000601
0.0,5.5248679,100.4792914
0.0,3.1143391,101.589805
0.0,33.6485962,130.42675073
0.0,-6.8654239,107.5982296
0.0,35.68689908,139.4435407
-6.0,51.43810328,7.37789878
0.0,-5.1321,119.42335
0.0,3.81802087,103.32640529
2.0,-6.34004195,106.74948125
1.0,55.66300432,12.58217235
0.0,43.06581298,-83.58302166
0.0,-26.20794599,28.0401068
0.0,0.49777667,123.07021758
1.0,-6.92924889,107.67910528
-3.0,33.48846999,-117.69347607
2.0,14.56070019,121.0272303
2.0,14.60396198,120.98674496
0.0,-6.421938,106.824642
0.0,24.2986312,43.7421719
0.0,40.3942113,-3.7230967
0.0,-6.11372,106.79687
0.0,50.6119569,2.1057726
0.0,51.18121312,0.07554623
0.0,-6.30036925,106.99265962
0.0,48.982725,2.3922463
0.0,47.868681,1.917863
0.0,38.1846823,140.3137506
0.0,49.4637793,1.04292316
0.0,33.43818145,-111.95091251
1.0,43.4052383,-8.1701002
0.0,38.47194775,27.08546815
0.0,36.77996476,34.57921899
0.0,36.5704152,139.9077616
0.0,34.6498438,126.8892339
-2.0,35.1128677,129.01853935
2.0,52.3238729,-1.1386862
0.0,-5.1492913,119.4516939
0.0,40.0167927,18.15639816
0.0,38.3695481,26.840511
0.0,40.97931489,29.06420231
0.0,-33.9237762,18.4233455
3.0,42.4086775,-82.95612226
0.0,38.44999261,27.21017361
0.0,37.40851395,-6.00513628
2.0,51.89397178,0.88866961
0.0,53.56652611,-0.10399117
0.0,33.38823901,-111.91861143
0.0,51.4819336,-3.17629752
0.0,21.0998178,-101.64379995
-3.0,53.58755959,-2.30100163
0.0,57.9961295,56.1561426
0.0,-2.931278,104.7065071
0.0,13.696836,101.090708
0.0,-5.1359809,119.4439324
0.0,-27.642333,152.8704796
1.0,2.2996849,102.32984972
0.0,29.34975,47.6636
2.0,33.3334253,-112.00774329
0.0,55.74178282,37.65538752
0.0,50.89920365,6.02652719
0.0,-7.37634552,112.69661938
0.0,40.76179044,29.92242072
0.0,-27.7794074,-50.3039768
0.0,39.53715265,-119.82334556
0.0,33.94070741,-84.09563595
0.0,53.35785832,-6.4392326
0.0,52.28183308,4.86435046
0.0,-6.92514,107.71674
0.0,24.5689894,46.64190806
0.0,-33.01952,27.86604
0.0,51.19999327,3.21347053
0.0,13.74602371,100.53459048
0.0,11.67612,10.19298
0.0,-27.7794074,-50.3039768
0.0,53.20054331,-0.58612528
0.0,35.17046277,136.91410842
0.0,40.9836499,28.7090784
0.0,-7.7418617,110.3655319
0.0,-7.00437,110.34048
0.0,-5.09134,119.52711
0.0,13.85459313,100.58580058
0.0,-6.98998,110.42096
0.0,34.0720585,-118.29533467
0.0,33.32730662,44.49915807
0.0,43.2762641,-8.2099302
0.0,35.76399522,139.69341387
0.0,39.73621633,-104.99626561
0.0,-6.3471909,106.9446119
0.0,46.3532368,48.0326166
-7.0,51.60596363,-0.12334537
0.0,6.51417,3.30432
1.0,35.2476177,-91.72861079
0.0,13.78409481,121.07462629
0.0,-5.15639,119.43779
0.0,35.72458535,139.71135139
0.0,38.61375595,27.42268333
0.0,39.92115934,-75.17500556
1.0,29.69356354,-95.58544396
0.0,-5.3642429,105.2418689
0.0,37.9862192,-87.6465408
0.0,64.1405264,-21.8997763
3.0,52.393161,-1.819732
-1.0,-25.71330571,28.35204714
0.0,40.2830044,-74.0048037
0.0,41.0614744,28.9802258
0.0,35.6714143,139.7890127
-4.0,28.0664992,-82.4108897
0.0,34.74016663,137.76280403
0.0,-1.20292,116.88149
0.0,-6.3067227,106.9285278
0.0,41.07694623,29.07062095
0.0,34.0340728,-117.48177349
0.0,14.58530643,121.14319257
0.0,37.53666129,-5.08073379
3.0,-0.23305067,100.618854
0.0,-6.8195009,106.7660482
6.0,51.5019658,-0.11309599
0.0,24.56552,46.5432
0.0,14.5266963,121.0775561
0.0,37.2624418,-5.5265065
3.0,51.70921644,-2.16504757
0.0,18.9142277,99.0177087
1.0,54.5926172,-1.0197959
0.0,33.32736261,44.49931758
0.0,3.07134539,101.49761035
0.0,48.75568598,7.78654556
0.0,-1.5668752,103.6569032
0.0,-6.60033,106.8115
0.0,41.8539553,12.6280471
0.0,51.46292567,-0.08127461
0.0,-7.24092,112.73731
0.0,-6.2458895,106.366304
0.0,3.1192392,101.6424328
0.0,34.967096,135.772691
0.0,30.4680706,-86.6530786
0.0,-8.6842412,115.20905384
3.0,-7.6019512,109.5819705
0.0,-6.2878643,107.45389434
0.0,6.93623516,100.39389158
1.0,40.85154521,-73.91225793
0.0,39.75309608,30.49298286
0.0,46.45669449,30.74171189
0.0,14.07765278,100.59770504
0.0,26.44876461,50.07548161
0.0,0.57957,123.0653
0.0,41.2782404,-8.3859321
0.0,-3.26801,102.91836
0.0,52.52090086,13.41563164
0.0,51.18864027,3.21212825
0.0,30.70924479,-95.53556389
0.0,38.2463393,27.27678814
0.0,35.61196641,139.74081195
0.0,37.98119558,-1.19816157
-1.0,-7.9233621,112.6023015
0.0,-2.97145,104.73937
-4.0,38.9211491,-77.0096722
0.0,48.84853836,2.37131933
0.0,39.1530194,-5.9108957
0.0,-6.3743,106.82097
0.0,34.46457613,135.43086343
0.0,-6.3893995,107.1198265
0.0,41.06160683,28.98832002
0.0,29.15624,48.12371
0.0,-7.2932069,112.6767379
0.0,46.74316912,-117.15174891
3.0,-6.9436763,107.5988872
0.0,29.9000822,-97.91251224
0.0,41.87643642,-87.62536506
0.0,34.10001688,-117.85574318
0.0,3.08738,101.64668
3.0,55.46866372,-4.62444903
0.0,13.65070496,100.49765899
1.0,31.50433664,-82.15793163
2.0,3.42597544,101.44602436
